PA,R,H,Db,HR,RBI,BB,SO
93,11,18,1,0,5,10,21.0
178,23,39,3,1,20,17,0.0
85,4,6,1,0,4,2,24.0
211,15,38,6,2,16,29,33.0
181,11,40,12,3,18,21,26.0
76,14,15,3,0,5,9,0.0
507,56,118,18,14,69,66,53.0
61,4,14,4,0,6,1,10.0
53,3,7,1,0,9,8,0.0
293,29,64,11,0,17,17,44.0
56,4,6,0,0,3,5,12.0
194,17,35,11,6,21,9,40.0
152,7,31,4,0,11,9,10.0
203,23,47,12,4,27,36,36.0
355,46,87,20,12,57,37,37.0
301,32,77,23,3,22,43,13.0
128,15,22,2,0,8,17,10.0
60,8,11,3,0,1,3,11.0
83,5,10,2,0,7,0,11.0
66,2,13,3,0,8,5,6.0
227,18,55,11,2,28,24,24.0
211,24,53,8,0,28,26,10.0
385,27,75,8,0,25,26,52.0
672,92,142,25,19,83,87,63.0
283,32,65,10,0,25,19,6.0
65,3,12,1,0,10,3,6.0
642,80,176,35,6,79,58,14.0
493,71,148,23,3,48,34,34.0
174,25,48,7,0,31,17,0.0
160,18,37,3,0,13,13,0.0
301,23,65,11,0,22,19,15.0
161,26,34,3,2,18,23,0.0
109,5,12,1,0,4,8,28.0
97,11,28,4,0,13,6,1.0
227,46,73,11,5,53,24,0.0
91,9,16,2,0,5,5,0.0
335,51,77,14,4,35,31,42.0
353,37,76,10,1,19,26,39.0
63,11,15,2,1,10,4,0.0
83,10,21,5,3,13,2,13.0
87,7,25,2,1,8,4,4.0
573,60,134,23,15,72,60,54.0
270,26,49,9,0,17,43,28.0
100,3,26,6,0,11,10,6.0
477,66,142,19,4,41,30,14.0
56,8,13,0,0,7,7,0.0
655,98,148,29,30,101,113,101.0
436,43,106,13,5,34,24,42.0
68,3,15,4,0,8,1,19.0
571,50,124,20,6,40,53,31.0
270,63,80,12,6,43,33,0.0
435,47,96,17,13,45,30,38.0
105,12,18,3,1,4,9,7.0
579,63,124,17,23,81,74,109.0
53,1,9,2,0,2,1,8.0
151,8,36,7,0,14,10,10.0
500,45,135,23,3,53,9,29.0
98,7,22,4,0,9,4,8.0
93,7,11,2,0,6,4,39.0
73,7,8,1,0,3,6,25.0
263,24,65,9,4,20,21,24.0
601,76,156,32,14,89,72,47.0
285,40,69,13,16,52,20,50.0
256,18,58,12,1,30,11,26.0
705,108,149,24,8,31,103,69.0
287,36,57,9,3,27,38,17.0
52,0,8,0,0,7,2,5.0
99,9,16,3,1,4,7,18.0
209,37,57,7,7,47,38,0.0
60,2,9,0,0,7,2,17.0
656,82,170,28,7,45,59,26.0
479,32,109,22,5,42,43,50.0
172,19,39,5,0,18,11,0.0
369,41,86,10,10,40,32,47.0
275,29,72,12,8,38,19,23.0
201,14,45,14,2,20,20,19.0
53,13,9,0,0,1,5,0.0
176,12,38,8,0,13,16,14.0
70,7,15,6,1,9,5,9.0
263,19,69,4,12,39,18,24.0
74,6,14,1,0,8,3,11.0
59,7,13,1,0,5,8,0.0
98,10,22,2,0,10,8,7.0
178,13,46,2,1,12,23,14.0
155,23,34,4,0,25,6,0.0
342,31,78,8,12,34,26,29.0
194,13,35,6,1,9,23,27.0
615,75,139,24,4,54,56,22.0
249,21,52,7,1,15,36,20.0
280,35,67,15,0,16,16,32.0
293,25,66,14,1,25,26,13.0
53,8,12,0,1,8,5,0.0
294,22,63,8,3,23,30,31.0
575,51,116,29,3,46,59,53.0
144,24,42,5,2,22,7,0.0
86,3,5,1,0,3,2,21.0
551,63,144,18,13,48,33,29.0
110,6,21,0,0,7,14,0.0
463,52,106,17,3,62,55,41.0
165,21,46,5,0,19,9,6.0
220,21,51,9,0,22,14,12.0
543,46,143,20,11,66,36,21.0
362,33,109,17,1,34,43,13.0
87,10,16,2,0,5,8,4.0
57,8,14,2,0,5,5,0.0
337,38,88,18,4,34,22,39.0
109,11,18,5,1,11,17,9.0
177,23,43,6,1,16,11,7.0
65,4,7,0,0,6,2,0.0
147,16,38,7,2,13,10,0.0
189,24,40,3,1,12,19,18.0
556,47,109,23,3,35,64,62.0
85,7,24,4,2,18,6,5.0
138,14,19,8,0,7,11,13.0
320,42,69,15,4,25,36,39.0
235,13,48,5,0,16,26,16.0
330,37,75,8,1,22,29,36.0
53,3,7,0,0,5,3,3.0
328,30,58,10,6,36,25,34.0
157,21,32,5,4,18,15,0.0
445,70,127,18,22,70,62,26.0
148,16,28,4,1,8,12,9.0
303,32,73,14,3,28,18,26.0
191,23,36,11,2,17,14,15.0
187,20,46,9,4,16,17,20.0
419,35,96,18,8,48,27,37.0
306,35,68,13,3,35,25,36.0
702,124,228,50,16,103,73,31.0
104,18,23,5,0,6,14,0.0
64,7,22,4,2,11,4,0.0
117,6,13,3,2,11,6,27.0
69,5,10,0,0,2,0,15.0
422,35,87,10,1,23,30,23.0
51,11,9,1,0,2,11,2.0
345,36,65,13,8,41,44,44.0
53,5,5,2,1,4,4,0.0
480,55,109,24,16,62,39,59.0
68,2,7,2,1,3,8,8.0
111,14,27,2,0,11,14,0.0
101,12,25,3,0,9,5,12.0
181,20,34,4,3,12,20,31.0
337,36,78,14,2,31,29,24.0
75,7,21,3,0,2,5,8.0
104,6,25,3,2,21,5,7.0
78,2,5,1,1,4,8,15.0
273,18,66,6,3,39,27,15.0
99,10,23,5,1,11,6,0.0
116,12,23,2,1,10,8,0.0
128,13,35,5,0,9,13,14.0
52,7,10,1,3,7,0,7.0
233,48,66,13,5,50,16,0.0
168,14,37,8,2,11,16,14.0
77,7,15,3,2,4,3,18.0
703,115,208,43,2,55,65,29.0
193,45,53,7,2,36,18,0.0
73,10,24,2,0,17,4,4.0
268,28,62,8,3,32,17,34.0
100,2,14,4,0,7,6,23.0
56,2,12,3,0,1,4,4.0
577,54,130,22,6,58,57,73.0
71,5,10,3,0,1,2,23.0
133,10,25,4,0,7,9,13.0
644,79,154,16,5,60,87,71.0
482,75,117,21,11,73,55,58.0
96,12,20,3,1,9,11,0.0
71,1,14,0,0,9,2,11.0
167,13,28,5,0,11,23,18.0
150,10,38,8,1,12,8,16.0
64,3,18,3,1,9,0,10.0
425,44,103,18,7,47,28,54.0
520,53,121,17,2,38,34,39.0
181,13,39,6,2,20,7,12.0
404,38,85,9,3,31,36,29.0
381,32,98,17,16,64,48,39.0
262,30,46,6,6,19,30,42.0
191,20,36,5,0,17,16,0.0
116,8,24,2,2,14,15,15.0
464,34,120,22,2,47,36,17.0
52,11,13,2,0,2,4,1.0
172,12,41,7,3,14,17,12.0
362,39,87,11,5,30,48,32.0
65,4,11,5,1,6,3,16.0
329,37,82,12,3,31,29,15.0
212,28,52,8,1,13,7,27.0
137,22,30,3,1,19,8,0.0
60,2,10,2,0,7,2,0.0
592,68,143,29,8,50,67,54.0
295,22,57,10,6,35,13,30.0
569,55,121,28,1,48,55,63.0
104,6,28,2,0,17,0,0.0
200,18,47,8,3,19,39,16.0
314,43,63,12,6,35,50,38.0
53,3,5,0,0,0,11,22.0
54,1,7,1,0,1,0,10.0
128,8,32,4,0,18,12,18.0
80,3,9,0,1,3,4,13.0
650,94,170,28,0,34,37,27.0
272,27,63,14,3,27,16,34.0
69,1,22,4,0,14,11,2.0
114,21,26,1,0,10,11,0.0
53,7,11,0,0,4,3,0.0
449,55,107,15,12,52,39,86.0
477,57,91,17,26,62,65,101.0
52,9,10,2,0,0,0,15.0
104,3,10,1,0,5,18,21.0
56,4,9,2,0,1,4,12.0
152,29,36,5,1,19,21,0.0
260,17,61,11,3,42,14,28.0
64,7,11,1,2,7,1,0.0
685,100,183,30,18,130,69,41.0
50,5,10,1,0,5,3,0.0
89,9,16,4,0,6,10,0.0
94,15,26,3,2,10,7,13.0
118,11,30,1,0,11,8,0.0
300,35,71,10,0,20,7,20.0
652,83,169,50,16,87,62,31.0
642,98,132,24,0,36,137,56.0
488,67,138,19,14,64,35,49.0
485,53,107,17,3,27,47,62.0
340,34,75,13,10,60,27,44.0
560,75,122,19,0,37,66,58.0
62,5,8,0,0,3,6,20.0
243,26,51,3,3,19,26,34.0
96,22,27,2,2,18,12,0.0
311,26,87,12,1,21,10,18.0
484,38,128,20,2,50,18,37.0
124,13,25,2,2,10,14,7.0
509,53,124,15,10,50,36,51.0
312,20,68,11,1,34,28,23.0
68,9,17,1,1,9,4,0.0
58,8,17,4,2,9,4,5.0
66,5,22,1,2,13,4,0.0
198,29,58,5,1,22,9,0.0
261,28,47,5,0,21,36,24.0
52,5,14,1,0,3,3,0.0
200,18,47,8,0,13,11,12.0
519,45,117,22,1,56,45,47.0
335,22,76,12,2,31,34,37.0
111,7,20,3,3,10,4,34.0
97,4,17,4,0,5,0,13.0
497,62,126,20,1,36,54,45.0
167,16,31,5,1,14,13,27.0
411,59,107,21,1,31,60,18.0
162,14,31,5,1,12,11,15.0
75,6,18,2,0,2,1,21.0
507,44,130,17,0,34,21,18.0
638,88,207,51,8,85,49,64.0
84,10,20,6,0,9,8,0.0
445,39,85,12,6,52,69,32.0
472,50,134,24,4,55,23,14.0
66,3,9,0,0,4,2,14.0
458,64,106,11,12,59,59,55.0
647,80,184,29,9,116,67,28.0
385,53,82,14,3,27,30,29.0
210,16,38,4,5,11,14,47.0
63,6,7,2,0,5,4,12.0
56,12,22,3,0,9,3,0.0
85,7,11,1,4,8,14,21.0
55,7,13,0,1,5,3,2.0
243,38,63,4,2,34,10,0.0
237,34,54,1,0,18,20,0.0
181,11,37,1,0,17,9,18.0
142,11,24,4,1,11,12,34.0
217,18,64,14,1,42,19,0.0
235,16,43,13,5,18,32,36.0
138,10,28,1,0,5,6,6.0
292,39,69,15,2,31,22,19.0
92,7,16,0,0,5,14,8.0
234,34,53,5,1,27,25,0.0
122,23,29,5,0,15,15,0.0
106,14,24,1,2,18,10,0.0
672,142,176,37,38,123,156,44.0
227,37,59,10,1,30,13,0.0
313,32,75,13,4,29,28,10.0
73,7,14,2,2,4,0,18.0
53,5,8,2,2,7,3,11.0
155,8,25,1,0,9,16,13.0
162,11,32,4,2,16,11,19.0
467,46,116,19,7,52,42,17.0
67,5,18,5,0,6,3,3.0
52,4,15,2,1,9,5,7.0
628,73,153,30,6,45,70,42.0
78,4,18,1,0,7,0,10.0
57,9,14,1,0,8,5,0.0
669,78,160,30,17,119,86,93.0
321,30,81,11,7,33,30,21.0
62,10,12,1,1,7,3,0.0
403,46,96,14,4,43,27,37.0
306,26,81,10,0,16,14,11.0
58,3,9,1,0,0,3,12.0
100,11,19,3,0,12,10,0.0
161,24,39,6,4,20,20,32.0
253,39,59,11,4,20,25,23.0
209,21,45,11,2,15,26,29.0
93,9,18,2,2,11,2,18.0
112,9,23,4,2,5,10,11.0
573,67,154,29,8,49,64,28.0
71,8,17,3,0,3,3,0.0
198,29,55,10,0,24,23,0.0
55,8,11,1,0,7,9,0.0
248,19,51,9,1,24,21,0.0
439,61,98,12,0,22,66,28.0
97,7,16,1,0,7,8,0.0
88,8,17,0,0,13,9,0.0
89,13,23,4,0,6,12,0.0
80,6,8,5,0,4,1,12.0
182,15,32,6,4,17,18,27.0
711,96,182,32,5,45,56,53.0
220,37,47,5,0,9,14,0.0
197,25,51,10,1,30,21,0.0
357,29,80,22,1,20,44,26.0
306,41,82,15,11,54,13,12.0
63,2,7,1,0,1,2,31.0
363,33,86,19,2,34,23,36.0
70,2,12,2,0,8,1,14.0
114,5,13,2,0,4,1,17.0
175,28,40,9,0,13,21,19.0
335,27,79,9,7,48,16,39.0
71,8,17,2,1,14,5,17.0
55,4,7,1,0,4,3,5.0
59,5,7,3,0,6,2,14.0
58,7,17,2,0,9,6,0.0
624,79,165,45,4,67,67,10.0
72,9,17,1,0,4,6,0.0
113,8,12,1,0,9,7,34.0
185,28,46,8,0,22,20,0.0
68,6,14,1,0,5,1,5.0
95,5,20,2,0,8,7,7.0
61,6,10,0,0,4,1,0.0
55,3,5,1,0,3,3,0.0
175,21,45,6,1,18,21,9.0
67,4,12,3,1,6,0,7.0
172,30,59,16,5,50,12,0.0
139,18,28,6,1,9,9,0.0
58,6,10,2,0,9,8,0.0
264,50,85,9,1,29,14,0.0
56,7,12,2,1,5,6,0.0
184,31,49,8,4,28,14,0.0
170,10,29,8,1,11,18,18.0
89,11,12,1,0,2,8,8.0
142,24,36,5,2,27,18,0.0
52,6,14,0,0,1,2,5.0
523,56,144,22,2,63,58,35.0
53,5,12,3,2,4,1,10.0
624,84,139,18,14,83,65,70.0
59,10,17,3,0,5,1,0.0
412,27,83,15,1,33,32,16.0
73,9,25,5,1,14,5,2.0
172,23,40,5,1,16,16,0.0
63,14,18,5,0,11,4,0.0
55,3,7,2,0,1,4,25.0
370,34,89,9,2,30,26,32.0
79,8,15,1,1,6,9,9.0
56,3,9,2,0,5,3,8.0
170,29,37,6,1,20,19,0.0
62,10,19,3,1,13,0,0.0
547,79,157,24,35,122,24,43.0
179,21,42,2,2,30,20,5.0
561,75,145,30,15,54,29,28.0
59,4,5,1,0,3,10,6.0
87,16,24,2,2,19,6,0.0
102,10,20,1,0,11,12,10.0
607,82,104,18,24,78,137,51.0
241,20,53,5,0,19,19,15.0
136,18,33,7,1,14,21,11.0
234,33,52,9,7,29,35,0.0
283,49,88,11,3,52,14,0.0
59,13,19,3,1,10,5,0.0
180,12,34,4,1,18,17,0.0
189,14,39,4,0,11,19,15.0
149,14,39,6,0,15,13,0.0
246,15,47,6,1,27,34,25.0
83,4,17,2,0,9,1,5.0
97,22,16,3,2,11,19,22.0
635,70,168,23,3,37,56,38.0
599,75,145,21,8,71,74,62.0
91,4,16,0,0,3,7,22.0
601,97,168,31,20,97,64,32.0
132,25,40,10,8,41,17,0.0
625,79,145,23,17,95,59,47.0
91,11,18,3,1,7,12,0.0
154,15,43,7,2,23,17,0.0
164,28,37,5,1,12,15,0.0
383,56,93,7,6,28,50,34.0
268,25,48,9,3,19,54,34.0
245,34,59,11,5,34,24,0.0
428,54,102,12,15,59,31,55.0
528,53,139,15,9,80,49,55.0
645,93,176,35,22,113,87,60.0
59,5,9,0,0,3,1,14.0
581,71,149,25,12,81,37,51.0
60,2,15,2,1,3,0,19.0
351,17,77,8,2,23,28,25.0
525,66,136,24,10,67,45,49.0
567,70,134,28,7,71,95,34.0
52,4,9,1,0,4,2,5.0
114,8,18,3,0,7,8,38.0
237,16,43,4,2,21,22,20.0
115,10,30,11,0,12,14,7.0
106,11,27,5,0,19,7,10.0
187,22,38,9,1,22,29,24.0
337,39,68,14,4,43,53,42.0
86,3,14,1,0,2,0,17.0
476,61,129,24,8,88,34,24.0
491,60,123,18,6,61,94,19.0
228,20,47,10,5,25,40,14.0
62,1,5,0,0,3,1,19.0
198,26,44,9,6,17,17,30.0
176,25,53,6,3,32,13,0.0
54,7,15,2,0,4,0,4.0
166,20,36,5,2,10,13,14.0
243,39,53,10,0,25,26,0.0
82,10,11,2,0,6,16,11.0
85,7,23,5,0,11,6,0.0
491,57,119,19,13,57,50,21.0
273,25,58,9,3,17,35,15.0
626,89,153,27,29,93,62,49.0
63,8,16,1,0,7,10,0.0
510,71,100,13,25,74,104,73.0
128,22,28,4,2,17,25,0.0
54,2,7,2,0,1,5,16.0
225,20,45,2,0,18,10,15.0
188,24,49,8,0,14,16,0.0
692,102,183,30,9,67,63,65.0
151,20,22,2,2,5,17,13.0
530,58,138,17,3,67,42,27.0
283,28,65,11,0,12,41,19.0
69,4,8,0,0,1,7,9.0
106,19,31,8,0,14,7,0.0
101,10,23,2,0,8,10,2.0
306,17,70,10,0,42,24,18.0
50,4,11,0,0,9,3,0.0
115,10,17,3,0,6,3,0.0
97,13,29,4,4,13,3,21.0
208,22,56,16,1,30,17,0.0
88,3,17,2,0,8,2,16.0
610,91,147,24,16,77,81,50.0
115,8,24,2,1,13,25,0.0
66,7,17,2,0,6,0,7.0
70,6,13,2,0,8,10,0.0
59,1,8,2,0,3,2,19.0
582,81,123,20,27,85,88,87.0
426,38,94,14,4,42,41,49.0
50,2,5,0,0,3,1,11.0
629,109,158,35,16,98,71,54.0
225,36,52,7,7,39,28,7.0
80,6,10,2,1,4,2,11.0
90,17,27,5,1,7,7,0.0
91,9,12,3,1,7,14,19.0
302,25,61,2,1,28,21,34.0
198,26,53,10,1,24,13,4.0
676,90,191,33,9,53,44,16.0
502,74,124,20,2,32,58,30.0
104,7,25,3,0,12,11,5.0
245,23,59,11,4,25,27,34.0
70,3,2,1,0,2,5,22.0
240,41,62,6,11,47,32,0.0
163,17,30,2,0,10,17,0.0
98,6,16,2,0,7,3,13.0
113,8,32,5,2,15,6,6.0
73,20,22,5,2,6,8,0.0
547,67,141,19,10,95,44,43.0
51,4,7,1,1,4,6,5.0
185,15,41,7,3,20,13,25.0
451,50,95,14,16,76,41,60.0
434,33,104,17,3,26,24,45.0
69,5,14,0,0,10,7,0.0
77,6,18,4,1,5,2,10.0
682,76,111,22,13,64,114,110.0
69,6,12,2,0,2,4,16.0
506,57,121,29,5,67,58,45.0
613,49,139,29,11,76,59,45.0
448,47,112,19,6,48,18,38.0
52,6,8,0,0,6,3,9.0
564,58,129,24,18,64,60,62.0
193,36,36,6,13,36,41,18.0
67,4,8,0,0,4,1,20.0
662,75,188,29,5,93,61,16.0
596,73,157,23,7,49,36,49.0
255,26,70,9,6,42,17,18.0
273,69,93,24,8,52,26,0.0
666,118,177,23,51,127,98,81.0
53,8,12,3,0,2,3,4.0
87,6,10,1,0,2,8,37.0
75,3,7,1,0,2,8,25.0
615,108,159,27,27,104,87,56.0
509,49,135,25,2,35,17,34.0
68,3,13,2,0,4,5,18.0
111,13,21,1,2,18,15,18.0
732,96,127,19,12,46,120,54.0
189,11,29,3,6,19,5,39.0
448,33,106,21,5,50,28,39.0
62,12,16,3,0,11,2,0.0
230,33,65,7,1,15,17,15.0
82,6,18,1,3,11,12,5.0
525,59,120,25,7,48,28,29.0
64,11,18,4,2,5,6,9.0
136,20,33,5,6,24,26,0.0
89,4,14,1,0,12,2,16.0
568,67,132,15,6,48,51,27.0
513,66,131,18,11,67,32,70.0
254,38,59,5,7,31,25,43.0
278,38,78,12,1,45,24,0.0
385,44,79,12,11,35,46,29.0
118,8,31,5,4,21,7,9.0
68,1,16,2,0,6,1,4.0
91,15,29,3,0,11,3,0.0
105,5,19,3,0,11,4,6.0
136,9,33,1,0,14,9,13.0
121,21,29,4,1,12,8,0.0
493,56,126,17,5,37,38,26.0
230,26,41,6,11,33,28,36.0
84,9,17,6,2,12,5,15.0
80,2,18,0,0,9,8,0.0
546,54,134,26,8,72,53,31.0
137,5,30,5,0,13,5,11.0
60,4,8,0,0,1,1,0.0
115,8,15,3,1,9,4,25.0
599,57,147,19,4,74,49,58.0
241,33,69,12,3,20,19,0.0
656,102,171,19,36,107,67,30.0
69,7,13,1,0,8,8,0.0
470,54,125,22,9,50,47,27.0
90,4,11,2,0,4,4,43.0
595,66,149,28,6,48,48,28.0
181,19,45,4,0,15,15,9.0
61,8,9,2,0,1,3,5.0
225,24,75,18,2,43,11,8.0
315,42,81,13,3,36,20,21.0
616,77,179,22,1,52,57,29.0
257,25,59,12,3,30,20,20.0
56,2,10,2,0,5,5,0.0
103,10,20,1,3,11,7,24.0
70,9,16,2,0,5,4,0.0
498,71,137,14,12,73,37,35.0
92,15,20,0,1,8,10,0.0
393,24,90,16,0,29,15,26.0
609,84,157,24,13,80,78,66.0
515,68,120,22,5,40,32,51.0
166,19,46,12,4,28,16,12.0
404,31,97,15,3,34,39,28.0
96,18,23,1,4,10,9,8.0
64,10,12,3,1,4,8,0.0
602,69,146,38,19,87,49,40.0
50,4,7,0,0,5,4,0.0
192,42,63,13,2,25,13,0.0
518,69,156,16,1,34,23,14.0
664,137,177,26,51,138,74,42.0
54,2,11,0,0,7,2,0.0
508,61,130,17,7,45,38,39.0
285,32,70,18,2,27,27,16.0
312,17,43,5,6,27,35,48.0
211,17,48,11,6,33,16,25.0
467,63,102,28,15,62,63,66.0
89,3,15,3,0,7,4,28.0
65,2,6,0,0,4,4,23.0
678,113,183,30,19,95,80,24.0
139,14,40,4,2,20,9,0.0
107,11,28,5,0,9,8,0.0
60,4,15,3,0,10,2,0.0
114,5,19,0,0,9,15,20.0
336,36,71,8,2,22,24,24.0
581,69,119,28,26,75,87,83.0
53,7,12,3,0,3,6,3.0
59,7,15,4,0,5,3,0.0
361,52,91,19,15,63,48,29.0
74,6,12,1,0,5,4,12.0
202,41,47,12,2,27,21,0.0
151,20,29,7,0,15,21,14.0
54,2,7,0,0,2,5,8.0
176,14,50,8,0,24,16,5.0
50,1,10,0,1,5,2,16.0
550,68,155,25,13,66,31,39.0
175,22,36,7,1,22,20,0.0
65,1,5,0,0,2,1,15.0
132,10,31,2,1,16,19,0.0
139,21,34,5,1,17,8,0.0
192,14,39,2,0,16,18,23.0
59,12,17,1,2,10,5,0.0
198,31,59,11,4,21,14,0.0
236,37,60,11,5,33,18,0.0
422,58,115,18,8,44,27,31.0
263,29,47,8,4,19,23,35.0
719,106,207,27,0,39,72,22.0
54,10,16,4,0,2,6,8.0
50,0,3,0,0,2,2,13.0
592,55,142,25,2,45,35,39.0
66,5,15,1,0,5,1,13.0
576,42,108,20,3,49,62,79.0
590,81,135,24,12,73,104,67.0
462,68,120,23,5,46,68,41.0
178,22,33,8,0,16,27,0.0
103,7,13,1,0,5,7,26.0
54,7,14,3,1,3,8,1.0
301,28,57,7,12,44,36,40.0
154,7,20,0,2,15,15,17.0
597,84,142,24,17,59,51,54.0
376,57,93,16,4,32,50,39.0
63,10,17,2,0,8,5,0.0
623,78,150,26,2,60,57,31.0
72,11,22,2,1,9,3,0.0
294,23,68,11,5,36,40,26.0
304,25,62,9,1,23,32,52.0
69,12,21,5,0,2,2,0.0
356,52,78,10,14,52,30,18.0
109,9,16,3,0,5,7,0.0
701,125,175,31,12,48,74,36.0
88,7,21,0,0,7,7,3.0
56,8,9,2,0,5,1,0.0
410,40,93,20,1,33,40,13.0
94,9,22,2,2,11,13,18.0
414,48,106,23,5,40,18,14.0
548,68,121,21,8,51,63,58.0
62,8,8,1,1,3,8,7.0
52,4,12,1,1,4,3,2.0
627,60,144,33,5,69,71,60.0
118,13,37,7,0,18,3,1.0
69,5,13,2,0,8,6,8.0
62,5,11,2,0,1,1,23.0
54,2,6,1,0,3,1,9.0
392,33,96,11,5,50,25,25.0
711,91,167,25,3,48,48,27.0
78,3,9,0,0,3,4,30.0
429,30,90,19,6,35,21,70.0
219,33,45,6,2,21,19,0.0
71,8,12,0,0,5,4,0.0
251,24,37,4,11,29,34,66.0
405,48,85,16,13,50,58,69.0
69,8,11,2,0,1,5,9.0
117,12,33,4,0,12,5,0.0
77,4,15,2,0,9,3,8.0
181,22,43,8,2,15,20,17.0
619,100,162,31,10,86,59,27.0
60,8,19,3,3,12,4,0.0
95,11,37,4,0,10,3,0.0
